Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,QBV Maths,QB Serial Number,SET NUMBER,Roll Number,Group,Test No,Center No
 ,D,B, , , ,D,B, ,D,C, ,C, ,A,B,B, ,D, , , , , , , , , , ,D, ,AE,3,1602005,MM,106,E002
 , ,B, ,B,C,A,B,A,D, ,D,C,C,A,B,D,D,C,B,C,B, , , ,B, , ,B,C, ,AE,3,1602066,MM,106,E002
B,A,B,A,B,A,D,D, , , ,A, ,C,B,A,D,C,C,B,C, , ,A, ,B,D, , ,C, ,AE,3,1602049, ,106,E002
C,B,B,A,B,A,D,D,B,B,D,A,B,C,B,A,D,C,C,B,C, , ,A, ,B,D, ,B,C, ,AE,3,1602046,MM,106,E002
A,C,D,A,C,A,B,B,B,C,C, ,D,D, ,B, , , , , , , ,B, ,D,C, ,D,C, ,AE,3,1602044, ,106,E002
 ,D,B,D,B, , ,D,C, ,D,C,B,A, ,C,B, ,D, , ,B, , , ,D,B, , ,D, ,AE,3,1602043,MM,106,E002
D, ,B, ,B, ,B, , , ,D,A, ,A,B,C,B, , , , , , , , , ,D, , ,D, ,AE,3,1602040,MM,106,E002
A, ,B, , , ,B,A,D, ,D, ,D, ,B, , , , ,D,D, , ,A, , ,C, ,D, , ,AE,3,1602039,MM,106,E002
 ,B,C,D,B,B, ,*,A,D,D,A,B, , , ,B,A,D, ,D, , , , , ,D, ,D,D, ,AE,3,1602038,MM,106,E002
 ,D,B,A,A, ,B,D,C,C,D,C,B,B,A, ,B, ,D,C,D, ,C, , ,A,B, , ,D, ,AE,3,1602037,MM,106,E002
B,A,B, , ,A,B,C, , ,D, ,B,A,B,C,B,B,C,B,C,D, ,A, ,B,D, , ,C, ,AE,3,1602034,MM,106,E002
D, ,B, ,B, ,B, , , ,D, , ,A,B,C,B,A, , , , , , , , ,D, , ,D, ,AE,3,1602033,MM,106,E002
D,C,A,C,A,B,D,D,A,A,C,B, , , , ,B, , , , , , ,C, ,C, , ,A,D, ,AE,3,1602032,MM,106,E002
D,B,C, , , ,A, , , ,C, ,C,C, , , ,B, ,A, , , , , , , ,B, ,C, ,AE,3,1602031,MM,106,E002
D,C,B, ,A,A,A,B, , ,D,C, , , , , ,B,C, , , , ,B, ,C,D, , ,C, ,AE,3,1602030,MM,106,E002
D,C,D, ,A, ,A,B,A,A,C, ,B, ,B, , , , , , , , , , , , , , , , ,AE,3,1602029,MM,106,E002
 ,C,B,C,B, ,A,A,C,A,D,C,D,C,B,D,B,D, ,A, , ,C, , ,D,D, ,B,C, ,AE,3,1602027,MM,106,E002
 ,C,B,A,A,B,A,B, ,A,C,B, ,B,C, ,D,D,B,B,B, , , , , , , , ,D, ,AE,3,1602025,MM,106,E002
D,C,D, ,A, ,A,B,A,A,C,C, , , ,D, , , , , , , ,A, , , , , , , ,AE,3,1602024, ,106,E002
 , ,B, ,B, , ,B, ,D,D, , ,B, , , ,B,D,C,D, , , , , , , , ,D, ,AE,3,1602023,MM,106,E002
 , ,B, , , ,B,C, ,D,D, ,B,B,D, ,B, ,D,C,D, ,C, , ,A, ,B, ,D, ,AE,3,1602022,MM,106,E002
D,B,B, ,B,C,D,A,D,C,D,A,A,B,C,A,A, , ,B,C, , ,A, ,D,C, ,D,C, ,AE,3,1602020,MM,106,E002
D,B,B, ,A, , ,A, , ,D,B,A, , , , , ,C, , , , ,A, ,C,D, , ,C, ,AE,3,1602018,MM,106,E002
C,C,B,C,B, ,A, , , ,D, , ,D, , , , ,D,C,D,C,C, , ,D,D, , ,D, ,AE,3,1602017,MM,106,E002
 , , , ,B,C, ,A,A,D,B,B,A,D,A,B,B, ,D, , ,C, ,B, , ,C, ,D,C, ,AE,3,1602016,MM,106,E002
 , ,B, ,B, ,B,C, , ,D, ,B,B,A,C,B,C,D,C,D,C,C, , , ,B, , ,D, ,AE,3,1602012,MM,106,E002
A,D,C,C,B,A,B,C,B,B,D,A,C,B,A,C,D,C,C,B,C,D,C,A,A,B,D,A,B,C, ,AE,3,1602011,MM,106,E002
B,B, ,D, , ,A,A, , , , , , , , , , , , , , ,A,A,C, , , ,A,D, ,AE,3,1602010,MM,106,E002
D,B,B, ,D,A,D,C,D, ,C,B,B,B,B,A,D,B,C,B,C,D, ,A,C,B,B, ,A,D, ,AE,3,1602007,MM,106,E002
C,B,B,A,B,A,D,D,B,B,D,A,D,B,B, , ,C, ,B,C,D,C,A, ,C,D, , ,D, ,AE,3,1602006,MM,106,E002
 ,D,B, ,B,D, , ,C, ,D,B,B, ,C,B, ,B,A, ,D,C, , , ,B, , ,B,D, ,AE,3,1602004,MM,106,E002
B,A, , ,A, ,B,A, ,C,C, , , , , ,D, , , , ,A, , , , , , , ,D, ,AE,3,1602003,MM,106,E002
C,A,D,A,A,B,D,A,D,B,B,B,A,D,A,C,D,B,C,B,D,B, ,A, ,B, , , , , ,AE,3,1602002,MM,106,E002
 ,A,D,C,B, ,A,A,D,B,C, ,C, ,B, , ,B,A,A,B, , , , , , , , ,D, ,AE,3,1602001,MM,106,E002
